participant,movement,device,prop_harmful,time_harmful,range_of_motion
16.0,flexion,mocap,0.21193573068094873,8.31,78.35721479750461
16.0,lateral,imu,0.0,0.0,69.8778827149182
16.0,lateral,mocap,0.0,0.0,68.69513052141002
17.0,axial,imu,0.34644322845417236,10.13,156.39388488503636
17.0,axial,mocap,0.38885088919288646,11.370000000000001,192.13365282609084
17.0,flexion,imu,0.2222222222222222,8.68,96.75179756323172
17.0,flexion,mocap,0.20814132104454686,8.13,95.42792656858309
17.0,lateral,imu,0.0,0.0,101.58319608557667
17.0,lateral,mocap,0.0,0.0,85.81437078943037
18.0,flexion,imu,0.38034528552456837,14.32,93.13228237703055
18.0,flexion,mocap,0.35351925630810094,13.31,101.17408010704177
18.0,lateral,imu,0.0,0.0,75.59496695371556
18.0,lateral,mocap,0.0,0.0,60.823073688150345
19.0,axial,imu,0.3960838199931295,11.53,170.235401785402
19.0,axial,mocap,0.4290621779457231,12.49,218.54449580319692
19.0,flexion,imu,0.1699003670686943,6.48,94.64296067361214
19.0,flexion,mocap,0.15626638699528053,5.96,95.17973862896419
19.0,lateral,imu,0.10573122529644269,3.21,126.00721392427005
19.0,lateral,mocap,0.0,0.0,113.96014795196729
20.0,axial,imu,0.18834688346883469,5.5600000000000005,139.55603252050298
20.0,axial,mocap,0.3062330623306233,9.040000000000001,162.71132466992339
20.0,flexion,imu,0.22327540810953134,8.48,104.30267361173675
20.0,flexion,mocap,0.20642443391258558,7.84,99.0122816107137
20.0,lateral,imu,0.0,0.0,73.78884655761541
20.0,lateral,mocap,0.0,0.0,68.68748638985826
21.0,axial,imu,0.33367486338797814,9.77,153.93149111381672
21.0,axial,mocap,0.38422131147540983,11.25,201.10706817146416
21.0,flexion,imu,0.28327383987761345,11.11,97.86479983059331
21.0,flexion,mocap,0.2797042325344212,10.97,115.15029629213078
21.0,lateral,imu,0.0,0.0,59.946985005017055
21.0,lateral,mocap,0.0,0.0,61.33136710117924
22.0,axial,imu,0.2648758925535532,7.79,160.49123774261284
22.0,axial,mocap,0.34750085005100306,10.22,181.24628624389192
22.0,flexion,imu,0.3114374034003091,12.09,104.68994553367826
22.0,flexion,mocap,0.26197836166924265,10.17,94.08679538835156
22.0,lateral,imu,0.0,0.0,91.2511604902339
22.0,lateral,mocap,0.0,0.0,86.54019910803943
23.0,axial,imu,0.4261733470366564,12.44,200.50973837666078
23.0,axial,mocap,0.43610825625214117,12.73,222.48842157276326
23.0,flexion,imu,0.10960654062340316,4.29,68.30168614344753
23.0,flexion,mocap,0.17220235053653551,6.74,74.19880556229388
23.0,lateral,imu,0.0,0.0,99.66109339590176
23.0,lateral,mocap,0.0,0.0,87.48913204063817
24.0,axial,imu,0.3407534246575342,9.950000000000001,153.19083677484807
24.0,axial,mocap,0.425,12.41,218.64998489604483
24.0,flexion,imu,0.36247443762781184,14.18,96.11482097724108
24.0,flexion,mocap,0.3254089979550102,12.73,101.46241069259933
24.0,lateral,imu,0.0,0.0,89.40088802521595
24.0,lateral,mocap,0.0,0.0,75.69640095248005
25.0,axial,imu,0.28166609764424716,8.25,142.84456151587813
25.0,axial,mocap,0.42301126664390576,12.39,182.65487733199942
25.0,flexion,imu,0.2040091347373763,8.040000000000001,95.46924295202986
25.0,flexion,mocap,0.20527784826186246,8.09,104.63667130450347
25.0,lateral,imu,0.0,0.0,87.59063564889082
25.0,lateral,mocap,0.0,0.0,74.03280781088736
26.0,axial,imu,0.3953960731211916,11.68,191.0271332728794
26.0,axial,mocap,0.4126607989167231,12.19,223.917098467236
26.0,flexion,imu,0.30643513789581206,12.0,96.57102626584695
26.0,flexion,mocap,0.33707865168539325,13.200000000000001,96.93411536898724
26.0,lateral,imu,0.0,0.0,83.88228089829653
26.0,lateral,mocap,0.0,0.0,82.00416615510656
27.0,axial,imu,0.3183673469387755,9.36,156.79944179810536
27.0,axial,mocap,0.34591836734693876,10.17,174.7094518713776
27.0,flexion,imu,0.277904907195525,10.93,96.68821467383415
27.0,flexion,mocap,0.26773455377574373,10.53,104.25253458181044
27.0,lateral,imu,0.0,0.0,82.83091818077759
27.0,lateral,mocap,0.0,0.0,78.52446027881774
28.0,axial,imu,0.4212131480853948,12.43,209.9876888960303
28.0,axial,mocap,0.45408336157234835,13.4,273.7487349328434
28.0,flexion,imu,0.14329976762199845,5.55,73.62192958358138
28.0,flexion,mocap,0.3263619932868577,12.64,110.15658618469853
28.0,lateral,imu,0.0,0.0,81.71442185930688
28.0,lateral,mocap,0.0,0.0,79.13533346526293
29.0,axial,imu,0.18619747181414417,5.45,140.1365217685251
29.0,axial,mocap,0.34984625896822685,10.24,182.43474035482964
29.0,flexion,imu,0.33631713554987214,13.15,94.29161730127083
29.0,flexion,mocap,0.3199488491048593,12.51,111.88905365625702
30.0,axial,imu,0.2609582059123344,7.68,133.97359890741927
30.0,axial,mocap,0.39143730886850153,11.52,185.1324318844652
30.0,flexion,imu,0.27675084613381934,10.63,87.05916396682044
30.0,flexion,mocap,0.27128351991668836,10.42,91.37377832156267
30.0,lateral,imu,0.0,0.0,83.85274404322541
30.0,lateral,mocap,0.0,0.0,103.246640001289
