Time (s),LateralBending Angle MoCap (degrees)
78.84666666666666,-12.125613769792322
78.85333333333334,-12.293715248821613
78.86,-12.634533829406378
78.86666666666667,-12.912385137124101
78.87333333333333,-13.09042487165984
78.88,-13.40899861598173
78.88666666666667,-13.703185056333067
78.89333333333333,-14.027876317300176
78.9,-14.200589322587396
78.90666666666667,-14.563524887879089
78.91333333333334,-14.833756896771954
78.92,-15.128761270471681
78.92666666666666,-15.381213668603682
78.93333333333334,-15.690619815100069
78.94,-15.970408020566811
78.94666666666667,-16.29188979664903
78.95333333333333,-16.60599244900866
78.96000000000001,-16.939012881173472
78.96666666666667,-17.283235632298563
78.97333333333333,-17.49743200917888
78.98,-17.808418513527855
78.98666666666666,-18.099233976284438
78.99333333333334,-18.497106306372817
79.0,-18.783576983305565
79.00666666666667,-19.046330746243097
79.01333333333334,-19.308653654822077
79.02,-19.66473729990716
79.02666666666667,-19.87478692418105
79.03333333333333,-20.27874654499581
79.04,-20.592778781187725
79.04666666666667,-20.843716711071078
79.05333333333334,-21.157057236686974
79.06,-21.502450520868567
79.06666666666666,-21.840605499682386
79.07333333333334,-22.195621682508627
79.08,-22.453041454583786
79.08666666666667,-22.7449195028223
79.09333333333333,-23.086568864010246
79.10000000000001,-23.390638504495804
79.10666666666667,-23.785669446094314
79.11333333333333,-24.043042394398647
79.12,-24.361860130359496
79.12666666666667,-24.651725478764707
79.13333333333334,-24.88995208666324
79.14,-25.24346902844993
79.14666666666668,-25.549431870180282
79.15333333333334,-25.848260834522726
79.16,-26.109554270034916
79.16666666666667,-26.398070914663883
79.17333333333333,-26.720602829647802
79.18,-27.05517128971858
79.18666666666667,-27.325956237410168
79.19333333333334,-27.593966053265657
79.2,-27.916621080118034
79.20666666666666,-28.173148465360573
79.21333333333334,-28.457725315756665
79.22,-28.73325516749207
79.22666666666667,-29.053478670061835
79.23333333333333,-29.270752412557286
79.24000000000001,-29.584517906932238
79.24666666666667,-29.82408633527264
79.25333333333333,-30.081060469628152
79.26,-30.392061106820698
79.26666666666667,-30.65940399391855
79.27333333333334,-30.879690056007867
79.28,-31.166038638450694
79.28666666666668,-31.46153986613737
79.29333333333334,-31.660443562362172
79.3,-31.947336567162075
79.30666666666667,-32.18048015672456
79.31333333333333,-32.40601833776206
79.32000000000001,-32.65847318902992
79.32666666666667,-32.99668545779804
79.33333333333333,-33.1984268394006
79.34,-33.4658736476719
79.34666666666666,-33.74149969389384
79.35333333333334,-33.899204276835114
79.36,-34.19622142669202
79.36666666666667,-34.55313889318269
79.37333333333333,-34.79253309785673
79.38,-35.03224834897518
79.38666666666667,-35.26677755008027
79.39333333333333,-35.577663832945134
79.4,-35.78154407163483
79.40666666666667,-36.104008512886566
79.41333333333334,-36.336861395077854
79.42,-36.62704417507996
79.42666666666666,-36.935007905078145
79.43333333333334,-37.12518082467612
79.44,-37.37101743724847
79.44666666666667,-37.68927180207475
79.45333333333333,-37.844595447447766
79.46000000000001,-38.13548662866812
79.46666666666667,-38.39304339473877
79.47333333333333,-38.638852343414776
79.48,-38.92691254403244
79.48666666666666,-39.2126471931946
79.49333333333334,-39.45145415331555
79.5,-39.699048587116245
79.50666666666667,-39.86939182463598
79.51333333333334,-40.194696033477484
79.52,-40.379530964122786
79.52666666666667,-40.59347998674678
79.53333333333333,-40.772374830726314
79.54,-41.074037067654835
79.54666666666667,-41.2989410276032
79.55333333333334,-41.46478972040951
79.56,-41.70888603649094
79.56666666666666,-41.98756717876614
79.57333333333334,-42.17714917794243
79.58,-42.37238724360862
79.58666666666667,-42.62080807533644
79.59333333333333,-42.853399549589646
79.60000000000001,-43.05327719279062
79.60666666666667,-43.23385982432975
79.61333333333333,-43.53087150389463
79.62,-43.6406993588477
79.62666666666667,-43.88408102934617
79.63333333333334,-44.05980200068476
79.64,-44.32076223800212
79.64666666666668,-44.482883013692984
79.65333333333334,-44.656809665156196
79.66,-44.85275715194832
79.66666666666667,-45.02719793912893
79.67333333333333,-45.22825625330946
79.68,-45.37200423709045
79.68666666666667,-45.505413049027574
79.69333333333334,-45.70162787603774
79.7,-45.822740890634265
79.70666666666666,-45.991253201489855
79.71333333333334,-46.11699353794967
79.72,-46.2190934129954
79.72666666666667,-46.37575861719209
79.73333333333333,-46.579305852968034
79.74000000000001,-46.68657413571973
79.74666666666667,-46.81871995712494
79.75333333333333,-46.92802165779643
79.76,-47.12018057389812
79.76666666666667,-47.227082766345475
79.77333333333334,-47.3202904971546
79.78,-47.46617245265524
79.78666666666668,-47.52204816098282
79.79333333333334,-47.63094479912594
79.8,-47.74950303885717
79.80666666666667,-47.91763433033204
79.81333333333333,-48.00840300036679
79.82000000000001,-48.093204665150864
79.82666666666667,-48.2472470809981
79.83333333333333,-48.32866742946411
79.84,-48.47294875797738
79.84666666666666,-48.59411174633394
79.85333333333334,-48.733587680136694
79.86,-48.81491399755464
79.86666666666667,-48.869371360002745
79.87333333333333,-48.99007892629964
79.88,-49.15662652865307
79.88666666666667,-49.30571083654764
79.89333333333333,-49.39190536704055
79.9,-49.50641888143381
79.90666666666667,-49.58375902732275
79.91333333333334,-49.711887792040066
79.92,-49.80518922317642
79.92666666666666,-49.937268921541616
79.93333333333334,-50.00900543929335
79.94,-50.10707961581256
79.94666666666667,-50.197815788281225
79.95333333333333,-50.32879202474468
79.96000000000001,-50.46586788138929
79.96666666666667,-50.52845059896847
79.97333333333333,-50.611417934296924
79.98,-50.67124516193604
79.98666666666666,-50.767225087574865
79.99333333333334,-50.87742655028069
80.0,-50.953771421058164
80.00666666666667,-51.08218757073592
80.01333333333334,-51.0857961930055
80.02,-51.121762938663004
80.02666666666667,-51.20946195705221
80.03333333333333,-51.34197605290091
80.04,-51.43350617675388
80.04666666666667,-51.54042962003111
80.05333333333334,-51.58844576671073
80.06,-51.66586512940748
80.06666666666666,-51.73087017503368
80.07333333333334,-51.82796375563068
80.08,-51.924938575358034
80.08666666666667,-52.00479720193786
80.09333333333333,-52.06011445053127
80.10000000000001,-52.10402546684874
80.10666666666667,-52.18158947158274
80.11333333333333,-52.26654097929045
80.12,-52.33500624681973
80.12666666666667,-52.41405409044726
80.13333333333334,-52.46598048307176
80.14,-52.527006883971
80.14666666666668,-52.57230281335233
80.15333333333334,-52.62122797819267
80.16,-52.66155860053292
80.16666666666667,-52.79695674740625
80.17333333333333,-52.87224594565862
80.18,-52.894446437855656
80.18666666666667,-52.914937171411786
80.19333333333334,-52.99821191049441
80.2,-53.04898822926794
80.20666666666666,-53.092167638063685
80.21333333333334,-53.18571189073511
80.22,-53.26318573527298
80.22666666666667,-53.28891107899076
80.23333333333333,-53.35075964764682
80.24000000000001,-53.398530312762674
80.24666666666667,-53.45380067503
80.25333333333333,-53.51583515893818
80.26,-53.58138848944338
80.26666666666667,-53.66645025557968
80.27333333333334,-53.69222279435169
80.28,-53.7686708909784
80.28666666666668,-53.82639843704301
80.29333333333334,-53.83600378005594
80.3,-53.89987528603642
80.30666666666667,-53.95972190242674
80.31333333333333,-54.01568799754699
80.32000000000001,-54.00791280203919
80.32666666666667,-54.114902842824996
80.33333333333333,-54.1404149200047
80.34,-54.213728485070526
80.34666666666666,-54.29054903633314
80.35333333333334,-54.306502729494085
80.36,-54.338519336076565
80.36666666666667,-54.37244190074458
80.37333333333333,-54.40740495050801
80.38,-54.44507163128705
80.38666666666667,-54.44507163128705
80.39333333333333,-54.48739591374357
80.4,-54.51047404296768
80.40666666666667,-54.52913197874133
80.41333333333334,-54.54408718865507
80.42,-54.54408718865507
80.42666666666666,-54.556139268270705
80.43333333333334,-54.56865359041322
80.44,-54.58470347386834
80.44666666666667,-54.58956292871109
80.45333333333333,-54.624766560123504
80.46000000000001,-54.63203549580695
80.46666666666667,-54.618072005285725
80.47333333333333,-54.64275645937186
80.48,-54.67827171812104
80.48666666666666,-54.70928793744694
80.49333333333334,-54.70249768028676
80.5,-54.67768167267017
80.50666666666667,-54.62500911033801
80.51333333333334,-54.6035126632012
80.52,-54.60425922771944
80.52666666666667,-54.57851502129551
80.53333333333333,-54.54714346790683
80.54,-54.52369320811306
80.54666666666667,-54.509317838994434
80.55333333333334,-54.51030775493058
80.56,-54.49289534759994
80.56666666666666,-54.51193578195569
80.57333333333334,-54.4900997244345
80.58,-54.50486962072976
