Shifted Time (s),AxialRotation Angle IMU (degrees)
100.224,-0.6837172667651878
100.234,-0.3593595432279342
100.244,-0.08195206547949718
100.255,0.20198216668223068
100.263,0.3958571534607929
100.274,0.6563168950585649
100.28399999999999,0.8892133916789828
100.294,1.1160096435258413
100.304,1.3312256508024132
100.313,1.5260144137123899
100.323,1.7552499324595852
100.334,2.0076562072487816
100.344,2.2344512382834445
100.354,2.4399060257688294
100.363,2.6034095699092155
100.373,2.767403870909556
100.383,2.9161479289745804
100.39399999999999,3.057210744309705
100.404,3.169984317120296
100.414,3.26568764761173
100.423,3.3551107359896952
100.43299999999999,3.4471535824600172
100.443,3.5288261872288866
100.454,3.6081885505023568
100.464,3.659370672486859
100.473,3.703792553388858
100.483,3.735464193415074
100.493,3.767135592772325
100.504,3.7908257516677017
100.514,3.804816670308385
100.524,3.822467348901796
100.533,3.8257217876555396
100.54299999999999,3.8220319867773838
100.553,3.825041946475188
100.564,3.821230666957099
100.574,3.8151001484312665
100.583,3.8112253911060896
100.593,3.8038743951900167
100.603,3.7849331608916708
100.613,3.7507516884197134
100.624,3.708031977983213
100.632,3.6814100297911794
100.643,3.6594798440530196
100.65299999999999,3.647247420978153
100.663,3.6313547607761705
100.673,3.6166818636569475
100.684,3.5913957298305044
100.692,3.5735483595069404
100.703,3.536194752896471
100.713,3.500790910209688
100.723,3.4708768316570913
100.734,3.4469315174495962
100.742,3.4290829677980947
100.753,3.398438182913873
100.763,3.380103163008159
100.773,3.355667908292519
100.783,3.331232418978473
100.794,3.3106406952778635
100.80199999999999,3.2981587374025545
100.813,3.2721985455645473
100.823,3.247762119976188
100.833,3.230035460849731
100.843,3.2238985683977583
100.852,3.2337334428330315
100.862,3.247716084368439
100.873,3.245228493216971
100.883,3.2390906695918567
100.893,3.2323426137063107
100.90299999999999,3.2207143257737854
100.91199999999999,3.205851806007787
100.922,3.17837305462198
100.93299999999999,3.1470530718302805
100.943,3.1201838578465826
100.953,3.0896544128850847
100.962,3.0671047371601405
100.972,3.0377948308862486
100.983,3.0044606942779617
100.993,2.9769803275502387
101.003,2.953759730917991
101.012,2.9328559045965
101.02199999999999,2.903544848801197
101.032,2.8772735637474725
101.04299999999999,2.8459510496511067
101.053,2.8184693067278848
101.063,2.7976873351938094
101.072,2.7866641352649406
101.082,2.7725917071575252
101.092,2.7646190510878204
101.103,2.766152167272331
101.113,2.772199055927579
101.122,2.7787337172703146
101.132,2.782950151517351
101.142,2.7865563588856905
101.152,2.793212339592489
101.163,2.7860320938550993
101.173,2.7780576218909974
101.182,2.7763649239178023
101.192,2.7714400001532975
101.202,2.754924850815277
101.213,2.7269424761218057
101.223,2.6921368762909914
101.232,2.665747051541179
101.242,2.637651002090853
101.252,2.610164728158788
101.262,2.577798229963719
101.273,2.530366507724682
101.28099999999999,2.501289561660788
101.292,2.4612383919912393
101.30199999999999,2.42155099893572
101.312,2.3757633827136466
101.322,2.336685543544845
101.333,2.2986464816493077
101.341,2.2744481972470414
101.352,2.236408690558142
101.362,2.20891996180306
101.372,2.1832510112021435
101.382,2.1533218389761073
101.391,2.1186934453458512
101.401,2.072293830532399
101.41199999999999,2.017477994756836
101.422,1.9704679382405275
101.432,1.9283376612050462
101.442,1.891697163872115
101.451,1.867498446463466
101.462,1.8341535092011965
101.472,1.799952352307536
101.482,1.7669709760046581
101.492,1.7443493805151358
101.501,1.7289245660616066
101.511,1.714842532866924
101.52199999999999,1.6935632811540797
101.532,1.6807008111462758
101.542,1.6696681230668498
101.551,1.6668692171392716
101.56099999999999,1.65461609358715
101.571,1.6411427526341575
101.582,1.6366371945042115
101.592,1.6292634194212297
101.602,1.6188394276093208
101.611,1.6110982192927314
101.621,1.6061637946958465
101.631,1.6134191540431884
101.642,1.6149402975594618
101.652,1.620365225469467
101.661,1.6301819379982838
101.67099999999999,1.6404864353711415
101.681,1.6587207178134662
101.692,1.6870697855509431
101.702,1.7120036388093451
101.712,1.7332872778145665
101.721,1.7606617027926923
101.731,1.7904749139699039
101.741,1.8172379115726172
101.752,1.8489406958272985
101.762,1.8683932669605992
101.771,1.874913625199366
101.78099999999999,1.8766757707706045
